Date,Open,High,Low,Close,Adj Close,Volume
2018-04-17,3.880000,3.880000,3.730000,3.830000,3.830000,7300
2018-04-18,3.740000,3.810000,3.740000,3.750000,3.750000,2400
2018-04-19,3.750000,3.850000,3.750000,3.850000,3.850000,2400
2018-04-20,3.960000,3.960000,3.880000,3.930000,3.930000,7800
2018-04-23,3.970000,3.970000,3.720000,3.950000,3.950000,16300
2018-04-24,3.900000,3.900000,3.570000,3.780000,3.780000,27900
2018-04-25,3.780000,3.780000,3.780000,3.780000,3.780000,0
2018-04-26,3.790000,3.830000,3.790000,3.830000,3.830000,300
2018-04-27,3.950000,3.950000,3.790000,3.830000,3.830000,3600
2018-04-30,3.800000,3.920000,3.630000,3.630000,3.630000,29900
2018-05-01,3.930000,3.930000,3.680000,3.900000,3.900000,1600
2018-05-02,3.760000,4.130000,3.750000,3.780000,3.780000,43500
2018-05-03,3.830000,4.590000,3.810000,4.040000,4.040000,372800
2018-05-04,4.030000,4.290000,3.950000,4.120000,4.120000,75800
2018-05-07,3.880000,4.110000,3.880000,4.080000,4.080000,23600
2018-05-08,4.080000,4.100000,3.940000,4.070000,4.070000,11000
2018-05-09,4.110000,4.400000,4.070000,4.240000,4.240000,11300
2018-05-10,4.160000,4.350000,4.000000,4.090000,4.090000,11400
2018-05-11,4.230000,4.230000,4.110000,4.120000,4.120000,12200
2018-05-14,4.120000,4.220000,4.120000,4.150000,4.150000,4700
2018-05-15,4.220000,4.350000,4.150000,4.270000,4.270000,7100
2018-05-16,4.270000,4.390000,4.200000,4.200000,4.200000,39200
2018-05-17,4.290000,4.640000,4.180000,4.290000,4.290000,173300
2018-05-18,4.330000,4.480000,4.200000,4.340000,4.340000,26600
2018-05-21,4.400000,4.500000,4.240000,4.400000,4.400000,15700
2018-05-22,4.500000,4.500000,4.050000,4.140000,4.140000,53000
2018-05-23,4.100000,4.220000,4.030000,4.220000,4.220000,16500
2018-05-24,4.020000,4.230000,4.000000,4.110000,4.110000,11800
2018-05-25,4.150000,4.150000,4.030000,4.030000,4.030000,2000
2018-05-29,4.140000,4.470000,4.140000,4.300000,4.300000,10100
2018-05-30,4.350000,4.450000,4.270000,4.290000,4.290000,8300
2018-05-31,4.290000,4.440000,4.280000,4.420000,4.420000,1700
2018-06-01,4.120000,4.260000,4.090000,4.200000,4.200000,2700
2018-06-04,4.320000,4.430000,4.320000,4.360000,4.360000,2600
2018-06-05,4.380000,4.400000,4.310000,4.320000,4.320000,5500
2018-06-06,4.260000,4.320000,4.070000,4.100000,4.100000,21900
2018-06-07,4.130000,4.200000,3.970000,4.200000,4.200000,18300
2018-06-08,3.950000,4.210000,3.750000,3.830000,3.830000,10700
2018-06-11,4.050000,4.080000,4.050000,4.080000,4.080000,1200
2018-06-12,4.050000,4.070000,4.030000,4.070000,4.070000,1100
2018-06-13,4.070000,4.070000,4.070000,4.070000,4.070000,0
2018-06-14,4.030000,4.090000,3.790000,4.080000,4.080000,13900
2018-06-15,3.910000,3.920000,3.900000,3.920000,3.920000,1600
2018-06-18,3.860000,4.040000,3.860000,4.040000,4.040000,1300
2018-06-19,4.040000,4.040000,4.040000,4.040000,4.040000,0
2018-06-20,3.730000,4.000000,3.730000,4.000000,4.000000,1700
2018-06-21,3.780000,3.990000,3.730000,3.990000,3.990000,1200
2018-06-22,4.010000,4.010000,4.010000,4.010000,4.010000,100
2018-06-25,4.010000,4.010000,4.010000,4.010000,4.010000,0
2018-06-26,4.010000,4.010000,4.010000,4.010000,4.010000,0
2018-06-27,3.590000,3.910000,3.510000,3.650000,3.650000,9400
2018-06-28,3.680000,3.900000,3.640000,3.900000,3.900000,4200
2018-06-29,3.900000,3.900000,3.900000,3.900000,3.900000,5500
2018-07-02,3.600000,3.670000,3.600000,3.630000,3.630000,5800
2018-07-03,3.750000,3.820000,3.700000,3.700000,3.700000,2000
2018-07-05,3.790000,3.800000,3.660000,3.660000,3.660000,3600
2018-07-06,3.760000,3.760000,3.760000,3.760000,3.760000,400
2018-07-09,3.740000,3.920000,3.740000,3.800000,3.800000,10400
2018-07-10,4.030000,4.240000,3.810000,3.990000,3.990000,41500
2018-07-11,4.120000,4.480000,3.820000,3.990000,3.990000,145300
2018-07-12,3.820000,4.000000,3.820000,3.860000,3.860000,14900
2018-07-13,3.800000,3.860000,3.790000,3.860000,3.860000,400
2018-07-16,3.870000,4.220000,3.620000,3.920000,3.920000,85700
2018-07-17,3.700000,3.850000,3.600000,3.630000,3.630000,39000
2018-07-18,3.640000,4.440000,3.610000,3.910000,3.910000,233900
2018-07-19,4.100000,4.100000,3.800000,4.000000,4.000000,17000
2018-07-20,3.780000,3.990000,3.770000,3.920000,3.920000,9800
2018-07-23,3.830000,3.980000,3.780000,3.980000,3.980000,3600
2018-07-24,4.070000,4.070000,3.750000,3.750000,3.750000,9900
2018-07-25,3.800000,3.990000,3.800000,3.880000,3.880000,5400
2018-07-26,3.890000,3.900000,3.680000,3.900000,3.900000,3500
2018-07-27,3.800000,3.820000,3.660000,3.820000,3.820000,5200
2018-07-30,3.690000,3.850000,3.690000,3.850000,3.850000,800
2018-07-31,3.750000,3.750000,3.640000,3.650000,3.650000,11800
2018-08-01,3.650000,3.740000,3.510000,3.740000,3.740000,13800
2018-08-02,3.750000,3.750000,3.750000,3.750000,3.750000,300
2018-08-03,3.520000,3.750000,3.520000,3.740000,3.740000,1500
2018-08-06,3.570000,3.740000,3.550000,3.740000,3.740000,7300
2018-08-07,3.610000,3.710000,3.610000,3.710000,3.710000,2600
2018-08-08,3.710000,4.000000,3.640000,3.840000,3.840000,47300
2018-08-09,3.610000,3.810000,3.610000,3.650000,3.650000,2300
2018-08-10,3.650000,4.000000,3.650000,3.980000,3.980000,2100
2018-08-13,3.970000,3.970000,3.670000,3.880000,3.880000,4200
2018-08-14,3.950000,3.950000,3.720000,3.920000,3.920000,3000
2018-08-15,3.840000,3.840000,3.830000,3.830000,3.830000,2000
2018-08-16,3.650000,3.900000,3.650000,3.900000,3.900000,2600
2018-08-17,3.900000,3.900000,3.800000,3.810000,3.810000,4100
2018-08-20,3.680000,3.850000,3.670000,3.850000,3.850000,8400
2018-08-21,3.710000,3.840000,3.710000,3.840000,3.840000,300
2018-08-22,3.840000,3.840000,3.840000,3.840000,3.840000,0
2018-08-23,3.650000,3.740000,3.650000,3.700000,3.700000,2100
2018-08-24,3.730000,3.730000,3.730000,3.730000,3.730000,500
2018-08-27,3.840000,3.900000,3.840000,3.850000,3.850000,14700
2018-08-28,4.000000,4.000000,3.850000,3.890000,3.890000,2200
2018-08-29,3.840000,3.850000,3.840000,3.850000,3.850000,3900
2018-08-30,3.850000,3.850000,3.850000,3.850000,3.850000,0
2018-08-31,3.850000,3.850000,3.850000,3.850000,3.850000,0
2018-09-04,3.850000,3.850000,3.850000,3.850000,3.850000,0
2018-09-05,3.640000,3.850000,3.640000,3.850000,3.850000,2100
2018-09-06,3.850000,3.850000,3.850000,3.850000,3.850000,0
2018-09-07,3.650000,3.750000,3.600000,3.750000,3.750000,3300
2018-09-10,3.700000,3.790000,3.700000,3.790000,3.790000,500
2018-09-11,3.800000,3.800000,3.730000,3.730000,3.730000,700
2018-09-12,3.950000,3.950000,3.950000,3.950000,3.950000,400
2018-09-13,3.940000,3.940000,3.710000,3.820000,3.820000,600
2018-09-14,3.920000,3.980000,3.650000,3.730000,3.730000,5700
2018-09-17,3.730000,3.730000,3.530000,3.710000,3.710000,5400
2018-09-18,3.530000,3.700000,3.530000,3.700000,3.700000,400
2018-09-19,3.550000,3.550000,3.450000,3.450000,3.450000,10000
2018-09-20,3.590000,3.680000,3.590000,3.680000,3.680000,200
2018-09-21,3.710000,3.710000,3.670000,3.710000,3.710000,3100
2018-09-24,3.710000,3.710000,3.710000,3.710000,3.710000,500
2018-09-25,3.660000,3.680000,3.600000,3.680000,3.680000,6100
2018-09-26,3.630000,3.670000,3.630000,3.670000,3.670000,900
2018-09-27,3.550000,3.730000,3.540000,3.700000,3.700000,16900
2018-09-28,3.410000,3.410000,3.410000,3.410000,3.410000,500
2018-10-01,3.700000,3.700000,3.570000,3.580000,3.580000,800
2018-10-02,3.710000,3.730000,3.510000,3.540000,3.540000,4600
2018-10-03,3.450000,3.730000,3.450000,3.580000,3.580000,2100
2018-10-04,3.580000,3.730000,3.450000,3.450000,3.450000,12600
2018-10-05,3.420000,3.730000,3.390000,3.600000,3.600000,7900
2018-10-08,3.520000,3.590000,3.500000,3.500000,3.500000,1400
2018-10-09,3.500000,3.500000,3.500000,3.500000,3.500000,3200
2018-10-10,3.490000,3.600000,3.490000,3.600000,3.600000,3600
2018-10-11,3.430000,3.700000,3.430000,3.700000,3.700000,1200
2018-10-12,3.700000,3.700000,3.700000,3.700000,3.700000,0
2018-10-15,3.700000,3.700000,3.500000,3.690000,3.690000,7000
2018-10-16,3.690000,3.690000,3.690000,3.690000,3.690000,0
2018-10-17,3.520000,3.700000,3.510000,3.700000,3.700000,2000
2018-10-18,3.600000,3.940000,3.510000,3.940000,3.940000,4100
2018-10-19,3.800000,4.740000,3.750000,4.130000,4.130000,276000
2018-10-22,3.750000,3.950000,3.410000,3.410000,3.410000,37200
2018-10-23,3.340000,3.400000,3.250000,3.400000,3.400000,13400
2018-10-24,3.380000,3.400000,3.030000,3.400000,3.400000,3000
2018-10-25,3.320000,3.320000,2.870000,3.180000,3.180000,9500
2018-10-26,3.000000,3.380000,3.000000,3.050000,3.050000,15900
2018-10-29,3.140000,3.290000,3.140000,3.200000,3.200000,7000
2018-10-30,3.220000,3.300000,3.050000,3.290000,3.290000,13500
2018-10-31,3.070000,3.310000,3.000000,3.260000,3.260000,4100
2018-11-01,3.290000,3.300000,3.040000,3.250000,3.250000,2100
2018-11-02,3.200000,3.200000,2.940000,2.950000,2.950000,5300
